Time	(16) Kp*error	(21) Kd*de/dt	(22) Kp*e+Kd*de/dt CW	
0.096	-0.05928572	-0.05916923	-0.05829066	
0.0962	-0.05928571	-0.05916935	-0.05829076	
0.0964	-0.05928568	-0.05916947	-0.05829086	
0.0966	-0.05928563	-0.05916959	-0.05829096	
0.0968	-0.05928556	-0.05916971	-0.05829106	
0.097	-0.05928546	-0.05916983	-0.05829115	
0.0972	-0.05928534	-0.05916996	-0.05829124	
0.09739999	-0.0592852	-0.05917008	-0.05829132	
0.0976	-0.05928503	-0.0591702	-0.05829138	
0.09779999	-0.05928484	-0.05917032	-0.05829144	
0.098	-0.05928464	-0.05917045	-0.05829149	
0.0982	-0.05928442	-0.05917057	-0.05829152	
0.0984	-0.05928419	-0.05917069	-0.05829154	
0.0986	-0.05928395	-0.0591708	-0.05829154	
0.0988	-0.0592837	-0.05917092	-0.05829153	
0.099	-0.05928344	-0.05917102	-0.05829151	
0.0992	-0.05928318	-0.05917113	-0.05829148	
0.0994	-0.05928292	-0.05917123	-0.05829143	
0.09959999	-0.05928265	-0.05917133	-0.05829137	
0.0998	-0.05928239	-0.05917142	-0.05829129	
0.09999999	-0.05928214	-0.0591715	-0.05829121	
0.1002	-0.05928188	-0.05917158	-0.05829111	
0.1004	-0.05928163	-0.05917165	-0.05829101	
0.1006	-0.05928138	-0.05917173	-0.0582909	
0.1008	-0.05928114	-0.05917178	-0.05829078	
0.101	-0.05928091	-0.05917184	-0.05829065	
0.1012	-0.05928069	-0.05917189	-0.05829052	
0.1014	-0.05928047	-0.05917194	-0.05829038	
0.1016	-0.05928027	-0.05917198	-0.05829024	
0.1018	-0.05928006	-0.05917202	-0.05829009	
0.102	-0.05927987	-0.05917205	-0.05828994	
0.1022	-0.05927969	-0.05917207	-0.05828979	
0.1024	-0.05927951	-0.05917209	-0.05828964	
0.1026	-0.05927934	-0.05917211	-0.05828948	
0.1028	-0.05927919	-0.05917212	-0.05828932	
0.103	-0.05927904	-0.05917213	-0.05828916	
0.1032	-0.05927889	-0.05917214	-0.05828901	
0.1034	-0.05927876	-0.05917214	-0.05828885	
0.1036	-0.05927863	-0.05917214	-0.0582887	
0.1038	-0.05927851	-0.05917214	-0.05828854	
0.104	-0.0592784	-0.05917214	-0.05828839	
0.1042	-0.05927829	-0.05917213	-0.05828824	
0.1044	-0.05927819	-0.05917213	-0.05828809	
